PrimaryKey,species,density,speciescount,source,reckey,rh_hydrologicfunction,rh_hf_sum,rh_commentshf,rh_bioticintegrity,rh_bi_sum,rh_commentsbi,rh_soilsitestability,rh_sss_sum,rh_commentsss,rh_plantcommunitycomp,DBKey,ecositeID,latitude_nad83,longitude_nad83,state,elevation,county,percentcoveredbyecosite,AH_PerenForbGrassCover,AH_ShrubCover,BareSoilCover,SoilStability_All,modis_landcover
11062614014848262011-09-01,JUOS,NA,NA,TerrADat,1106261648382004,SM,1.3,NA,NS,1.2222222222222223,NA,NS,1.2,NA,2,2011,R028BY010NV,39.44540907,-115.21699144,NV,1967,White Pine,NA,33.33333333,26,17.33333333,3.27777778,Permanent Wetlands
11070913141850942011-09-01,PIMO,NA,NA,TerrADat,1107091520563945,M,1.9,rocks and some grass are the only thing slowing runoff and erosion,ME,2.2222222222222223,pj encroachment,SM,1.8,NA,2,2011,R028BY016NV,39.98078982,-115.22839843,NV,1997,White Pine,NA,10.66666667,5.33333333,19.33333333,3.55555556,Grasslands
11070913141850942011-09-01,JUOS,NA,NA,TerrADat,1107091520563945,M,1.9,rocks and some grass are the only thing slowing runoff and erosion,ME,2.2222222222222223,pj encroachment,SM,1.8,NA,2,2011,R028BY016NV,39.98078982,-115.22839843,NV,1997,White Pine,NA,10.66666667,5.33333333,19.33333333,3.55555556,Grasslands
11071008150185592011-09-01,JUOS,NA,NA,TerrADat,110710101325156,SM,1.8,NA,ME,2.111111111111111,"pj encroachment, possibly crossed threshold into woodland",M,1.8,NA,2,2011,R028BY006NV,39.82859503,-115.50596861,NV,2177,White Pine,NA,12.66666667,0.66666667,6.66666667,4.55555556,Grasslands
11071008150185592011-09-01,PIMO,NA,NA,TerrADat,110710101325156,SM,1.8,NA,ME,2.111111111111111,"pj encroachment, possibly crossed threshold into woodland",M,1.8,NA,2,2011,R028BY006NV,39.82859503,-115.50596861,NV,2177,White Pine,NA,12.66666667,0.66666667,6.66666667,4.55555556,Grasslands
11071012013294662011-09-01,JUOS,NA,NA,TerrADat,1107101413024605,NS,1.2,NA,M,1.6666666666666667,F/S groups have been altered due mainly to JUOS encroachment; however plot has high spp. Richness,NS,1.1,NA,1,2011,R028BY011NV,39.87015132,-115.49864823,NV,2071,White Pine,NA,26,29.33333333,16,3.27777778,Grasslands
11071012013294662011-09-01,PIMO,NA,NA,TerrADat,1107101413024605,NS,1.2,NA,M,1.6666666666666667,F/S groups have been altered due mainly to JUOS encroachment; however plot has high spp. Richness,NS,1.1,NA,1,2011,R028BY011NV,39.87015132,-115.49864823,NV,2071,White Pine,NA,26,29.33333333,16,3.27777778,Grasslands
11080413124167962011-09-01,JUOS,NA,NA,TerrADat,1108041442375575,SM,1.7,NA,SM,1.5555555555555556,NA,SM,1.6,NA,2,2011,R025XY019NV,39.90868941,-115.74708843,NV,1879,White Pine,NA,31.33333333,12,28,2.94444444,Grasslands
11081808482575142011-09-01,JUNIP,NA,NA,TerrADat,1209261239274268,SM,1.4,NA,M,1.8888888888888888,***Refer to separate Jackson Mountain 2012 DIMA to retrieve AIM data (1 line of LPI).,NS,1.1,NA,2,2011,R023XY040NV,41.48106506,-118.42997528,NV,1458,Humboldt,NA,77.33333333,19.33333333,1.33333333,4.05882353,Grasslands
11051817524323042011-09-01,PIMO,NA,NA,TerrADat,11062011411540,SM,1.5,Evidence of some water erosion and infiltration decreased do to loss of deep rooted bunch grasses.,M,1.8888888888888888,Cheatgrass percentage high.  There is a low amount of deep rooted bunch grasses.,SM,1.4,Soil surface reistance to erosion and evidence of water erosion present at this site.,2,2011,R026XY005NV,39.1956225,-119.44179686,NV,1841,Lyon,NA,12.66666667,20,13.33333333,2.77777778,Grasslands
11051817524323042011-09-01,JUOS,NA,NA,TerrADat,11062011411540,SM,1.5,Evidence of some water erosion and infiltration decreased do to loss of deep rooted bunch grasses.,M,1.8888888888888888,Cheatgrass percentage high.  There is a low amount of deep rooted bunch grasses.,SM,1.4,Soil surface reistance to erosion and evidence of water erosion present at this site.,2,2011,R026XY005NV,39.1956225,-119.44179686,NV,1841,Lyon,NA,12.66666667,20,13.33333333,2.77777778,Grasslands
11052409092996162011-09-01,PIMO,NA,NA,TerrADat,1106201306139526,NS,1.2,NA,SM,1.5555555555555556,Cheatgrass is prevalent and bunchgrasses are in much smaller abundances than expected,NS,1.1,NA,2,2011,R026XY016NV,39.04274053,-119.40233611,NV,1629,Douglas,NA,6.66666667,21.33333333,27.33333333,2.44444444,Grasslands
11052409092996162011-09-01,JUOS,NA,NA,TerrADat,1106201306139526,NS,1.2,NA,SM,1.5555555555555556,Cheatgrass is prevalent and bunchgrasses are in much smaller abundances than expected,NS,1.1,NA,2,2011,R026XY016NV,39.04274053,-119.40233611,NV,1629,Douglas,NA,6.66666667,21.33333333,27.33333333,2.44444444,Grasslands
11052509031689182011-09-01,PIMO,NA,NA,TerrADat,1106201214388821,SM,1.4,"Annual invasives create faster water sheeting in large patches, decreasing infiltation and affecting site water potential.",M,1.8888888888888888,"Patch structure of invasives warrants ME on portion of plot, but community integrity on rest of plot (accounting for fire succession) is fairly normal.",NS,1.4,"Older drainage, waterflow patterns, and litter movement mosty due to old fire. Not seemingly deteriorating further.",3,2011,R026XY016NV,39.05399075,-119.42726048,NV,1632,Douglas,NA,6,9.33333333,12,3.29411765,Grasslands
11060717443217862011-09-01,JUOS,NA,NA,TerrADat,1106081740001181,NS,1.2,most important categories were none-to-slight,M,1.7777777777777777,PJ encroachment is high enough to be of concern,NS,1.1,most indicators were none-to-slight,1,2011,R026XY005NV,39.17826622,-119.39382926,NV,1913,Lyon,NA,20.66666667,26,2.66666667,2.5,Grasslands
11060717443217862011-09-01,PIMO,NA,NA,TerrADat,1106081740001181,NS,1.2,most important categories were none-to-slight,M,1.7777777777777777,PJ encroachment is high enough to be of concern,NS,1.1,most indicators were none-to-slight,1,2011,R026XY005NV,39.17826622,-119.39382926,NV,1913,Lyon,NA,20.66666667,26,2.66666667,2.5,Grasslands
11092710175157062011-09-01,PIMO,NA,NA,TerrADat,1109271422212571,NS,1.2,No evidence of erosion or unhealthy water movement.,SM,1.4444444444444444,Perennial bunchgrasses lacking and clearly not reproducing at expected rate.,NS,1.1,"Despite soil stability values being a little low, overall condition is good.",2,2011,R026XY028NV,38.89272053,-119.50847806,NV,2764,Douglas,NA,34.66666667,20.66666667,18,2.11111111,Grasslands
11092810410095332011-09-01,PIMO,NA,NA,TerrADat,1109281527085907,SM,1.8,"fairly steep site w/ loose soils, lacking deep-rooted bunchgrasses.",ME,2.4444444444444446,PIMO dominated site w/ high cheatgrass cover,NS,1.3,preponderance of evidence for NS,3,2011,R026XY046NV,38.92381129,-119.45689844,NV,2267,Douglas,NA,4.66666667,15.33333333,1.33333333,1.27777778,Grasslands
11062709211313552011-09-01,JUOS,NA,NA,TerrADat,1106270939358255,SM,1.6,NA,M,2,pj common throughout site,NS,1.4,NA,3,2011,R028BY087NV,39.45619006,-115.15382799,NV,2112,White Pine,NA,23.33333333,7.33333333,22,4.05555556,Grasslands
11062709211313552011-09-01,PIMO,NA,NA,TerrADat,1106270939358255,SM,1.6,NA,M,2,pj common throughout site,NS,1.4,NA,3,2011,R028BY087NV,39.45619006,-115.15382799,NV,2112,White Pine,NA,23.33333333,7.33333333,22,4.05555556,Grasslands
11062911132183352011-09-01,JUOS,NA,NA,TerrADat,1106291126523032,NS,1.5,NA,SM,1.5555555555555556,lacks bunchgrasses and arno4 annual prodx.,NS,1.4,NA,2,2011,R028BY011NV,39.67434807,-115.19275519,NV,1961,White Pine,NA,11.33333333,21.33333333,18,3,Grasslands
11062908143180772011-09-01,JUOS,NA,NA,TerrADat,1106291013184752,NS,1.4,NA,NS,1.1111111111111112,biotic could use little more grass but not bad,NS,1.5,NA,1,2011,R028BY011NV,39.67167543,-115.20923989,NV,1996,White Pine,NA,22,40.66666667,20.66666667,4.16666667,Grasslands
11051114544515612011-09-01,PIMOF,NA,NA,TerrADat,1108031537288082,NS,1.4,"Although soil is weak, there is no evidence of excess water damage to the site.",SM,1.8888888888888888,Reduction in soil stability and invasives on site. Soil characteristics are weakened which can lead to an increase in invasive species.,SM,1.3,Soil stability test showed half of interspace soil samples below reference values.,1,2011,R028BY010NV,39.65479069,-116.73521951,NV,1863,Lander,NA,14,19.33333333,29.33333333,2.33333333,Grasslands
11072009130473572011-09-01,JUOS,NA,NA,TerrADat,1107201043033968,NS,1.3,NA,NS,1.3333333333333333,NA,NS,1.3,NA,1,2011,R028BY011NV,39.62512258,-115.00837514,NV,1990,White Pine,NA,6.66666667,32,43.33333333,2.77777778,Grasslands
1107201452437912011-09-01,JUOS,NA,NA,TerrADat,1107201709485753,SM,1.9,NA,M,1.8888888888888888,encroachment is real threat,SM,1.8,NA,2,2011,R028BY086NV,39.47318224,-115.13631317,NV,2109,White Pine,NA,26,36.66666667,24,2.44444444,Grasslands
1107201452437912011-09-01,PIMO,NA,NA,TerrADat,1107201709485753,SM,1.9,NA,M,1.8888888888888888,encroachment is real threat,SM,1.8,NA,2,2011,R028BY086NV,39.47318224,-115.13631317,NV,2109,White Pine,NA,26,36.66666667,24,2.44444444,Grasslands
1107211207049992011-09-01,PIMO,NA,NA,TerrADat,110721140423359,SM,1.5,NA,M,2.3333333333333335,encroachment is main issue although still artrv & bunchgrasses present,NS,1.4,NA,1,2011,R028BY087NV,39.50035088,-115.1654757,NV,2134,White Pine,NA,20,4.66666667,8,2.88888889,Grasslands
1107211207049992011-09-01,JUOS,NA,NA,TerrADat,110721140423359,SM,1.5,NA,M,2.3333333333333335,encroachment is main issue although still artrv & bunchgrasses present,NS,1.4,NA,1,2011,R028BY087NV,39.50035088,-115.1654757,NV,2134,White Pine,NA,20,4.66666667,8,2.88888889,Grasslands
11051114534355302011-09-01,PIMOF,NA,NA,TerrADat,1108031517244729,SM,1.8,"While flow patterns seemed to be moving litter and soil, much of the negative hydrologic functioning of the site might be attributed to slope and soil surface gravel percentages. We are not 100% convinced this site is a 28-11.",SM,1.7777777777777777,"While soil & site stability, along with hydrologic function, seem to be suffering somewhat, these factors don't seem to be contributing a proportionate decline in biotic integrity. The initial impression of the site is that it is healthy.",M,2,"Soil stability numbers were universally low on this site, and evidence of soil loss and movement was readily apparent. The state of the soil does not seem to be having a heavy impact on biotic integrity, however.",1,2011,R028BY011NV,39.6187885,-116.8963213,NV,2096,Lander,NA,24.66666667,24,26.66666667,2.55555556,Grasslands
